NAME,TICKER,YAHOO_TICKER
Agnico Eagle Mines Limited,AEM,AEM.TO
Agrium Inc,AGU,AGU.TO
ARC Resources Ltd.,ARX,ARX.TO
Bank of Montreal,BMO,BMO.TO
Bank of Nova Scotia Halifax,BNS,BNS.TO
Barrick Gold Corp,ABX,ABX.TO
BCE Inc,BCE,BCE.TO
BlackBerry Limited,BB,BB.TO
Bombardier Inc B Subvtg,BBD.B,BBD-B.TO
Brookfield Asset Management Inc,BAM.A,BAM-A.TO
Cameco Corp,CCO,CCO.TO
Canadian Imperial Bank of Commerce,CM,CM.TO
Canadian National Railways,CNR,CNR.TO
Canadian Natural Resources,CNQ,CNQ.TO
Canadian Oil Sands Limited,COS,COS.TO
Canadian Pacific Railway Ltd,CP,CP.TO
Canadian Tire Corporation Limited NV,CTC.A,CTC-A.TO
Catamaran Corporation,CCT,CCT.TO
Cenovus Energy Inc,CVE,CVE.TO
CGI Group Inc A Subvtg,GIB.A,GIB-A.TO
Crescent Point Energy Corp,CPG,CPG.TO
Eldorado Gold Corp,ELD,ELD.TO
Enbridge Inc,ENB,ENB.TO
EnCana Corp,ECA,ECA.TO
Enerplus Corporation,ERF,ERF.TO
First Quantum Minerals Ltd,FM,FM.TO
Fortis Inc,FTS,FTS.TO
George Weston Ltd,WN,WN.TO
Gildan Activewear Inc A,GIL,GIL.TO
Goldcorp Inc,G,G.TO
Husky Energy Inc,HSE,HSE.TO
Imperial Oil Ltd,IMO,IMO.TO
Kinross Gold Corp,K,K.TO
Loblaw Companies Ltd,L,L.TO
Magna International Inc,MG,MG.TO
Manulife Financial Corp,MFC,MFC.TO
Metro Inc.,MRU,MRU.TO
National Bank of Canada,NA,NA.TO
Pembina Pipeline Corporation,PPL,PPL.TO
Penn West Petroleum Ltd.,PWT,PWT.TO
Potash Corp of Saskatchewan,POT,POT.TO
Power Corp of Canada Subvtg,POW,POW.TO
Rogers Communications Inc B,RCI.B,RCI-B.TO
Royal Bank of Canada,RY,RY.TO
Saputo Inc,SAP,SAP.TO
Shaw Communications Inc B,SJR.B,SJR-B.TO
Silver Wheaton,SLW,SLW.TO
SNC - LAVALIN GROUP INC.,SNC,SNC.TO
Sun Life Financial Serv Canada,SLF,SLF.TO
Suncor Energy Inc,SU,SU.TO
Talisman Energy Inc,TLM,TLM.TO
Teck Resources Limited Subvtg B,TCK.B,TCK-B.TO
TELUS Corp,T,T.TO
Thomson Reuters Corporation,TRI,TRI.TO
Tim Hortons,THI,THI.TO
Toronto-Dominion Bank,TD,TD.TO
TransAlta Corporation,TA,TA.TO
TransCanada Corp,TRP,TRP.TO
Valeant Pharmaceuticals International Inc.,VRX,VRX.TO
Yamana Gold Inc,YRI,YRI.TO
