Company name,Symbol,,,,,
01 Communique Laboratory  ,ONE,,,,,
01 Communique Laboratory  ,ONE,,,,,
20-20 Technologies Inc.  ,TWT,,,,,
2907160 Canada Inc  ,PRP,,,,,
360 CAPITAL FINL SERVICES GROUP INC  ,TSZ,,,,,
360 VOX CORPORATION  ,VOX,,,,,
360 VOX Corp  ,LCN,,,,,
37 Capital Inc  ,JJJ,,,,,
3MV Energy Corp  ,TMV,,,,,
3TL Technologies Corp  ,TTM,,,,,
49 North Resources Inc  ,FNR,,,,,
523976 Alberta Ltd  ,RDN,,,,,
5Banc Split Inc.  ,FBS-C,,,,,
5Banc Split Inc.  ,FBS.B,,,,,
5Banc Split Inc.  ,FBS-B,,,,,
71 Capital Corp  ,SVN.H,,,,,
88 Capital Corp  ,EEC,,,,,
92 Resources Corp  ,NTY,,,,,
AAN Ventures Inc  ,ANN,,,,,
ABE Resources Inc  ,ABE,,,,,
ACCESS INTERNATIONAL EDUCATION LTD  ,AOE.H,,,,,
ACE AVIATION HOLDINGS INC  ,ACE,,,,,
ACL International Ltd  ,ACL.H,,,,,
ACT Aurora Control Technologies Corp.  ,PUL,,,,,
ACT Aurora Control Technologies Corp.  ,ACU,,,,,
ACT360 SOLUTIONS LTD.  ,AKM,,,,,
ACTIVEnergy Income Fund  ,AEU.UN,,,,,
ACUITYADS HOLDINGS INC  ,AT,,,,,
ADAMERA MINERALS CORP  ,ADZ,,,,,
"ADF Group, Inc.  ",DRX,,,,,
ADVANTAGE OIL & GAS LTD 5% DB  ,AAV.DB.H,$,-,-,-,-
ADVANTAGED CDN HIGH YIELD BOND FUND  ,AHY.UN,$,61.51M,8.83,-,-
ADVANTAGED PREFERRED SHARE TRUST  ,PFR.UN,$,41.95M,17.54,-,-
AEterna Zentaris Inc.  ,AEZ,$,37.17M,-,-,-51.82
AFG Flameguard Ltd  ,OP,$,-,-,-,0
AFG Flameguard Ltd.  ,AFG,$,-,-,-,-
AGAU Resources Inc.  ,AGS.H,-,-,-,-,-
AGF Master Limited Partnership  ,AFP.UN,$,-,-,-,-95.76
AGNICOEAGLE MINES PURCH WRT  ,AEM.WT.U,US$,-,-,-,-
AGUILA AMERICAN GOLD LTD.  ,AGL,$,"691,500.00",-,-,-
AIC Global Financial Split Corp.  ,ASC,-,1.82M,-,-,-81.2
AIM Health Group Inc  ,AHG,-,11.96M,-,-,-
AIS RESOURCES LIMITED  ,AIS.H,$,1.30M,-,-,-
ALDERSHOT RESOURCES LTD.  ,ALZ,$,"798,700.00",-,-,-
ALGONQUIN POWER AND UTILITIES PREF D  ,AQN-D,$,100.16M,-,-,-
ALGONQUIN POWER&UTILITIES CORP  ,AQN.DB.A,$,-,-,-,-
ALGONQUIN PWR & UTIL 7.0% CONV  ,AQN.DB.B,$,-,-,-,-
ALIBABA INNOVATIONS CORP  ,ABJ,$,-,-,-,-
ALLANA POTASH CORP  ,AAA,$,95.97M,-,-,-34.07
ALLANA POTASH CORP  ,AAA,-,44.40M,-,-,-34.07
ALLBANC SPLIT CORP II PREF SER 1  ,ALB-B,$,20.63M,-,-,-
ALLBANC SPLIT CORP PREF C  ,ABK-C,$,32.97M,-,-,-
ALLBANC SPLIT CORP. CL B  ,ABK-B,$,-,-,-,-
ALLIANCEPHARMA INC  ,APA,$,"639,100.00",-,-,-
ALMO CAPITAL CORP.  ,APT,$,"857,000.00",-,-,-
ALQ Gold Corp  ,ALQ,$,"220,750.00",-,-,-38.46
ALSTON ENERGY INC  ,ALO.H,$,"816,500.00",-,-,-
ALTURAS MINERALS CORP.  ,ALT,$,"661,600.00",-,-,-
AM Gold Inc.  ,AMG,$,"680,390.00",-,-,-70
AMARA MINING PLC  ,AMZ,$,-,-,-,-
Abattis Bioceuticals Corp  ,ATT,$,-,-,-,-
Abcana Capital Inc  ,ABQ.H,$,"360,000.00",-,-,-
Abcourt Mines Inc.  ,ABI,$,8.94M,-,-,-30.77
Aben Resources Ltd  ,ABN,$,1.35M,-,-,0
Abenteuer Resources Corp.  ,ABU,$,2.28M,-,-,71.43
Aberdeen International Inc.  ,AAB,$,14.54M,-,-,12
Abington Resources Ltd.  ,ABL,$,"359,770.00",-,-,-30
Abitibi Mining Corp.  ,ABB,$,"199,095.00",-,-,-
Abitibi Royalties Inc  ,RZZ,$,37.16M,-,-,596.08
Abzu Gold Ltd  ,ABS,$,1.15M,-,-,-85
Acadian Energy Inc  ,ACX,$,"62,644.00",-,-,-
Acadian Mining Corp  ,ADA,$,-,-,-,-
Acadian Mining Corp  ,ADA,$,-,-,-,-
Acana Capital Corp.  ,APB,$,-,-,-,-
Acasti Pharma Inc  ,APO,$,57.44M,-,-,-58.52
Acceleware Ltd  ,AXE,$,1.99M,-,-,-25
Accend Capital Corporation  ,ADP.H,-,-,-,-,-
Accord Financial Corp.  ,ACD,$,86.90M,12.08,3.27,2.56
Ackroo Inc  ,AKR,$,3.93M,-,-,-64.29
Ackroo Inc  ,SEY,-,7.75M,-,-,-43.75
Acme Resources Corp  ,ACY.H,$,"10,510.00",-,-,-
Acme Resources Inc.  ,ARI,$,"452,990.00",-,-,-69.23
Acorn Income Corp  ,ACI,$,"485,236.00",-,-,78.57
Action Energy Inc.  ,AEC.H,-,-,-,-,-
Active Control Technology Inc  ,ACT,$,"612,364.00",-,-,-
Active Growth Capital Inc  ,ACK,$,"521,387.00",-,-,-14.29
AcuityAds Holdings Inc  ,WLD.P,$,"60,000.00",-,-,-
Adanac Molybdenum Corp.  ,AUA,$,4.71M,-,-,8.82
Added Capital Inc  ,AAD,$,"234,220.00",-,-,-65
Added Capital Inc  ,NFC,$,2.96M,-,-,-65
